,USA360
1888-01-23,1.0284594590687897
1888-01-24,1.0265930706643496
1888-01-25,1.0318475225653023
1888-01-26,1.038877065453997
1888-01-27,1.0423449208623086
1888-01-28,1.0475875653371243
1888-01-30,1.0474116280282062
1888-01-31,1.0419963027149441
1888-02-01,1.0372675332358214
1888-02-02,1.0319567596343842
1888-02-03,1.0284120911587673
1888-02-04,1.0248661145779716
1888-02-06,1.0266235444173415
1888-02-07,1.0248470065621824
1888-02-08,1.0195294132164667
1888-02-09,1.0230657271529877
1888-02-10,1.0266006337714704
1888-02-11,1.0230541344697115
1888-02-13,1.021270514509617
1888-02-14,1.0212640511263604
1888-02-15,1.0265705221540307
1888-02-16,1.028333974404388
1888-02-17,1.035405864612318
1888-02-18,1.0353993117697227
1888-02-20,1.0300815038111597
1888-02-21,1.0300749846652038
1888-02-23,1.033600371975651
1888-02-24,1.031825312812872
1888-02-25,1.0282810958439677
1888-02-27,1.0194205374511114
1888-02-28,1.0229564737439063
1888-02-29,1.017638242687247
1888-03-01,1.0274819239842725
1888-03-02,1.0221386455308896
1888-03-03,1.0203510608068211
1888-03-05,1.0114362129565408
1888-03-06,1.0167722495583609
1888-03-07,1.009642697607653
1888-03-08,1.007852842735642
1888-03-09,1.0114088408313564
1888-03-10,1.0114006941409672
1888-03-14,1.0113681076418901
1888-03-15,1.013141235833175
1888-03-16,1.0042285135456346
1888-03-17,0.9988724621931336
1888-03-19,1.0113422765456777
1888-03-20,1.0006467560404786
1888-03-21,0.9845887183653262
1888-03-22,0.9917269961452606
1888-03-23,0.9881487908019632
1888-03-24,0.9881408314664974
1888-03-26,0.986339116240414
1888-03-27,0.9827589171369725
1888-03-28,0.977390498031448
1888-03-29,0.97738262535182
1888-03-31,0.9630709497020548
1888-04-02,0.9558992214689029
1888-04-03,0.968441234696539
1888-04-04,0.9827548330295324
1888-04-05,0.9827505519879313
1888-04-06,0.9952540052630064
1888-04-07,0.9916810299134469
1888-04-09,0.9863173125007492
1888-04-10,0.9773825774972357
1888-04-11,0.9791662148168991
1888-04-12,0.9827369984680916
1888-04-13,0.9880931011321883
1888-04-14,0.9863030864124801
1888-04-16,0.9898666172699375
1888-04-17,0.9952182969649253
1888-04-18,0.9916454498086396
